,o2o_shop_code,o2o_shop_name,open_date,open_time,close_time,close_date,business_days,district,address_en,address_chi,allow_chill,allow_fresh,allow_frozen,not_allow_return
111,HOM,Hung Hom - Tak Man Street Shop,,2022-10-08 12:00:00,2022-10-08 21:00:00,,1/2/3/4/5/6/7,KLN,"Shop 5L, G/F(Ho Fu Bldg.Whampoa Est.), 36D Tak Man St., Hunghom (pick-up)",德民街36號D黃埔新村可富樓地下5L舖 (自取),True,False,True,False
112,KWA,Kwai Chung - Kwai Chung Plaza Shop,2019-01-16T00:00:00+08:00,2022-10-08 12:00:00,2022-10-08 21:00:00,,1/2/3/4/5/6/7,NT,"Shop A53A, G/F, Kwai Chung Plaza Shop, 7-11 Kwai Foo Road, Kwai Chung",葵涌葵富路7-11號葵涌廣場地下A53A號舖,True,False,True,False
113,KAM,Kam Sheung Road MTR Station shop (No alcohol and oil products allowed),2019-04-06T00:00:00+08:00,2022-10-08 12:00:00,2022-10-08 21:00:00,,1/2/3/4/5/6/7,NT,KSR 5 at Kam Sheung Road Station (pick-up),港鐵錦上路站KSR 5號舖 (自取),True,False,True,False
114,SAI,SAI KUNG - SAI KUNG Shop,2022-06-27T00:00:00+08:00,2022-10-08 12:00:00,2022-10-08 21:00:00,,1/2/3/4/5/6/7,NT,"SHOP 12, ON G/F, SAI KUNG BUILDING, SAI KUNG NEW TERRITORIES",新界西貢西貢大廈地下12號舖,True,False,True,False
115,TWS,Tai Wai MTR Station shop (No alcohol and oil products allowed),,2022-10-08 12:00:00,2022-10-08 21:00:00,,1/2/3/4/5/6/7,NT,"TAW 11, Tai Wai MTR Station, Tai Wai (pick-up)",港鐵大圍站TAW 11號舖 (自取),True,False,True,False
116,ZQO,San Po Kong - S and K Logistics Company Pickup Point,2022-03-10T00:00:00+08:00,2022-10-08 12:30:00,2022-10-08 19:30:00,,1/2/3/4/5/6,KLN,"SHAP A-20 G/F SHOPPING, SAN PO KONG PLAZA, 33 SHUNG LING ST SAN PO KONG, KL",九龍新蒲崗廣場A20號鋪,True,False,True,True
117,ZKA,"Hung Hom MTR Station Lingsik King Pickup Point (No chilled items, alcohol and oil products allowed)",2021-06-11T00:00:00+08:00,2022-10-08 12:30:00,2022-10-08 19:30:00,,1/2/3/4/5/6/7,KLN,"HUH E4, Hung Hom MTR Station, Hung Hom, Kowloon",九龍 港鐵紅磡站HUH E4號舖,False,False,True,True
118,ZPC,Tseung Kwan O - Aplex Pickup Point,2022-08-01T00:00:00+08:00,2022-10-08 12:30:00,2022-10-08 20:00:00,,1/2/3/4/5/6/7,NT,Shop G46 G/F Park Central Tseung Kwan O,將軍澳將軍澳中心G46號鋪,True,False,True,True
119,ZPA,Ma On Shan - Aplex Pick up point,2022-02-14T00:00:00+08:00,2022-10-08 12:30:00,2022-10-08 20:00:00,,1/2/3/4/5/6/7,NT,"Shop, Level 2, Ma On Shan Plaza, Ma On Shan, N.T.",馬鞍山廣場 2 樓 276鋪,True,False,True,True
120,ZSV,Tai Po - StoreroomZ Pickup Point,2022-05-16T00:00:00+08:00,2022-10-08 13:00:00,2022-10-08 21:00:00,,1/2/3/4/5/6,NT,"Shop 12A, Elegance Garden, Tai Po, NT",新界大埔富雅花園地下12A,False,False,True,True
121,ZSU,Tai Wai - StoreroomZ Pickup Point,2022-05-16T00:00:00+08:00,2022-10-08 13:00:00,2022-10-08 21:00:00,,1/2/3/4/5/6,NT,Tai Wai - StoreroomZ Pickup Point,新界大圍新田村65號地下,True,False,True,True
122,ZRW,Sham Shui Po - Snow Snow Dessert Pickup Point,2022-03-16T00:00:00+08:00,2022-10-08 14:30:00,2022-10-08 21:00:00,,1/2/3/4/5/6/7,KLN,"Shop B, G, 71 Fuk Wa Street, Sham Shui Po",深水埗福華街71號B舖,True,False,True,True
123,ZSX,Po Lam - Tsui Lam 1PM Pickup Point,2022-06-15T00:00:00+08:00,2022-10-08 15:00:00,2022-10-08 19:30:00,,1/2/3/4/5/6,KLN,"Shop W06 2/F Tsui Lam market, Tsui Lam, Tseung Kwan O",將軍澳翠林街市2樓W06號鋪,False,False,False,False
