,o2o_shop_code,o2o_shop_name,open_date,open_time,close_time,close_date,business_days,district,address_en,address_chi,allow_chill,allow_fresh,allow_frozen,not_allow_return
50,NGA,Kowloon City - Nga Tsin Wai Road Shop,2021-07-05T00:00:00+08:00,2022-10-08 12:00:00,2022-10-08 21:00:00,,1/2/3/4/5/6/7,KLN,"G/f, No. 76, Nga Tsin Wai Road, Kowloon",九龍衙前圍道76號地下,True,False,True,False
51,YMT,Yau Ma Tei - Yau Ma Tei Shop,2021-06-06T00:00:00+08:00,2022-10-08 12:00:00,2022-10-08 21:00:00,,1/2/3/4/5/6/7,KLN,"Shop No.12 & No.26, G/F, Alhambra Building, Nos.383 385 385A 385B 387 387A 387B 389 389A-389C Nathan Road & Nos.15-17 Kansu Street, Kowloon",九龍油麻地彌敦道0383-0389C號平安大樓地下12&26號鋪,True,False,True,False
52,LOP,Yuen Long - Long Ping MTR Station Shop,2020-01-30T00:00:00+08:00,2022-10-08 12:00:00,2022-10-08 21:00:00,,1/2/3/4/5/6/7,NT,"MTR Station Shop LOP24, Long Ping Station, NT",元朗港鐵朗屏站24號舖,True,False,True,False
53,LBT,Lai Chi Kok - Liberte Place Shop,2018-11-30T00:00:00+08:00,2022-10-08 12:00:00,2022-10-08 21:00:00,,1/2/3/4/5/6/7,KLN,"Shop B1, 1/F, Liberte Place, 833 Lai Chi Kok Road, Lai Chi Kok (pick-up)",荔枝角道833號昇悅廣場 一樓122B1店  (自取),True,False,True,False
54,FCS,Fanling - Fanling Centre Shop,2019-05-16T00:00:00+08:00,2022-10-08 12:00:00,2022-10-08 21:00:00,,1/2/3/4/5/6/7,NT,"Shop 248A, 1/F, Fanling Centre, No. 33 San Wan Road, Fanling (pick-up)",粉嶺中心1樓248A號舖 (自取),True,False,True,False
55,MAY,Tai Po - Mayfair Lane,2021-04-26T00:00:00+08:00,2022-10-08 12:00:00,2022-10-08 21:00:00,,1/2/3/4/5/6/7,NT,"Shop LG 7-8, Mayfair Lane, 21 Fo Chun Road, Tai Po",大埔 白石角 科進路21號 逸瓏坊 地下低層 Shop 7-8,True,False,True,False
56,QWP,Admiralty - Queensway Plaza Shop,2019-05-19T00:00:00+08:00,2022-10-08 12:00:00,2022-10-08 21:00:00,,1/2/3/4/5/6/7,HK,"Shop No. B16-B17, First Floor, Queensway Plaza 93 Queensway, Hong Kong",港島 金鐘金鐘廊一樓B16-17 號舖,True,False,True,False
57,LEI,Lei Tung MTR Station shop (No alcohol and oil products allowed),2020-02-20T00:00:00+08:00,2022-10-08 12:00:00,2022-10-08 21:00:00,,1/2/3/4/5/6/7,HK,"LET 1, Lei Tung MTR Station, Lei Tung, HK",香港港鐵利東站LET 1號舖 (近A1出口),True,False,True,False
58,TKW,To Kwa Wan - To Kwa Wan Station Shop,2021-04-01T00:00:00+08:00,2022-10-08 12:00:00,2022-10-08 21:00:00,,1/2/3/4/5/6/7,KLN,"TKW 2 at MTR Tokwawan station, Tokwawan",土瓜灣港鐵站 2號店,True,False,True,False
59,BSS,Tsuen Wan - Belvedere Square Shop,2019-02-21T00:00:00+08:00,2022-10-08 12:00:00,2022-10-08 21:00:00,,1/2/3/4/5/6/7,NT,"Shop No. 9, G/F, Belvedere Square of Belvedere Garden Phase 3, No. 652 Castle Peak Road, Tsuen Wan",荃灣青山公路荃灣段625號麗城薈G樓9號舖,True,False,True,False
60,CPF,Central - Central Pier 5 Shop,2021-07-28T00:00:00+08:00,2022-10-08 12:00:00,2022-10-08 21:00:00,,1/2/3/4/5/6/7,HK,"Shop KA, 1/F, Central Pier 5, Central, Hong Kong",中環五號碼頭一樓KA號鋪,True,False,True,False
61,CHE,Tsing Yi - Cheung Hang Shop,2021-06-20T00:00:00+08:00,2022-10-08 12:00:00,2022-10-08 21:00:00,,1/2/3/4/5/6/7,NT,"Shop 326, 3/F, Cheung Hang Estate, Tsing Yi",新界青衣寮肚路6號長亨商場 三樓326號舖,True,False,True,False
62,TWR,Tsuen Wan West MTR Station shop (No alcohol and oil products allowed),2019-06-28T00:00:00+08:00,2022-10-08 12:00:00,2022-10-08 21:00:00,,1/2/3/4/5/6/7,NT,"TWW 24 & 25, Tsuen Wan West MTR station (pick-up)",港鐵荃灣西站24&25號舖 (自取),True,False,True,False
63,MWS,Ma Wan - Tin Liu New Village Shop,2018-12-18T00:00:00+08:00,2022-10-08 12:00:00,2022-10-08 21:00:00,,1/2/3/4/5/6/7,NT,"G/F, No. 45 Tin Liu New Village, Ma Wan (pick-up)",馬灣田寮新村45號地舖 (自取),True,False,True,False
64,ABC,Aberdeen - Aberdeen Centre Pharse 2 Shop,2021-04-19T00:00:00+08:00,2022-10-08 12:00:00,2022-10-08 21:00:00,,1/2/3/4/5/6/7,HK,"Shop 16A & 16B, G/F, Aberdeen Centre Phase 2, 9 Nam Ning Street, Aberdeen",香港仔 南寧街9號 香港仔中心2期 地下 Shop 16A & 16B,True,False,True,False
65,TFC,Tsuen Wan - Tsuen Fung Centre Shop,2022-09-01T00:00:00+08:00,2022-10-08 12:00:00,2022-10-08 21:00:00,,1/2/3/4/5/6/7,NT,"Shop No. 6, 1/F at Level 3, Tsuen Fung Centre, Nos. 138-168 Sai Lau Kok Road, Tsuen Wan, New Territories",新界 荃灣 西樓角路138-168號 荃豐中心 一樓 6號舖,True,False,True,False
66,CAI,Central - Caine Road Shop,2019-03-08T00:00:00+08:00,2022-10-08 12:00:00,2022-10-08 21:00:00,,1/2/3/4/5/6/7,HK,"Shop E, G/F, Caine Mansion, Nos. 80-88 Caine Road, Hong Kong (pick-up)",香港 中環堅道80-88號堅都大廈地下E舖 (自取),True,False,True,False
67,GRC,Fanling - Green Code Plaza Shop,2020-01-29T00:00:00+08:00,2022-10-08 12:00:00,2022-10-08 21:00:00,,1/2/3/4/5/6/7,NT,"Shop No. G15 on Ground Floor of Green Code Plaza, No.1 Ma Sik Road, Fanling",粉嶺馬適路1號逸峯廣場地下G15號舖,True,False,True,False
68,ONE,Tin Shui Wai - One Sky Mall Shop,2021-02-10T00:00:00+08:00,2022-10-08 12:00:00,2022-10-08 21:00:00,,1/2/3/4/5/6/7,NT,"Shop 1109, First Floor of One Sky Mall, No.8 Tin Sau Road, Tin Shui Wai, New Territories",天水圍天秀路8號天一商城1樓1109號舖,True,False,True,False
69,ART,Sheung Shui - Artique Shop,2022-06-01T00:00:00+08:00,2022-10-08 12:00:00,2022-10-08 21:00:00,,1/2/3/4/5/6/7,NT,"Address: Shop 1, G/F, Artique, No. 38 San Lok Street, Sheung Shui, NT",新界 上水新樂街38號尚宜地下1號舖,True,False,True,False
70,VEN,Tuen Mun - Venice Gardens Shop,2021-05-15T00:00:00+08:00,2022-10-08 12:00:00,2022-10-08 21:00:00,,1/2/3/4/5/6/7,NT,"UG/F 07, Floor UG, Venice Gardens, 12 Leung Tak Street, Tuen Mum, New Territories",屯門良德街12號海麗花園UG層7號鋪,True,False,True,False
71,TKO,HKTV TKO Headquarters (For Staff Only),2021-07-21T00:00:00+08:00,2022-10-08 12:00:00,2022-10-08 21:00:00,,1/2/3/4/5/6/7,KLN,"No 1, Chun Cheong Street, Tseung Kwan O Industrial Estate, Tseung Kwan O",將軍澳工業邨駿昌街1號,True,True,True,True
72,FAI,Yuen Long - Fairview Park Shop,2019-10-14T00:00:00+08:00,2022-10-08 12:00:00,2022-10-08 21:00:00,,1/2/3/4/5/6/7,NT,"Shop No.12, G/F, Blk E, Town Centre, Fairview Park, Yuen Long (pick-up)",新界元朗錦繡花園商場E座地下12號舖 (自取),True,False,True,False
73,WME,Fanling - Wah Ming Estate,2021-10-01T00:00:00+08:00,2022-10-08 12:00:00,2022-10-08 21:00:00,,1/2/3/4/5/6/7,NT,"Shop G38, G/F, Wah Ming Shopping Centre, 21 Wah Ming Road, Fanling",粉嶺 華明路21號 華明商場地下G38號鋪,True,False,True,False
74,CAR,Tung Chung - Caribbean Square Shop,2020-01-31T00:00:00+08:00,2022-10-08 12:00:00,2022-10-08 21:00:00,,1/2/3/4/5/6/7,NT,"Shop No. 5B on the Podium First Floor of Caribbean Square of Caribbean Coast , No. 1 Kin Tung Road, Tung Chung",東涌健東路1號映灣薈一樓5B號舖,True,False,True,False
75,HPS,Happy Valley - Sing Woo Road Shop,2019-06-12T00:00:00+08:00,2022-10-08 12:00:00,2022-10-08 21:00:00,,1/2/3/4/5/6/7,HK,"Shop No. 6 On Ground Floor, Happy Court, No.39E Sing Woo Road, Hong Kong  (pick-up)",跑馬地成和道39E號海怡閣地下6號舖 (自取),True,False,True,False
76,FVG,Siu Sai Wan - Fullview Garden Shop,2019-02-28T00:00:00+08:00,2022-10-08 12:00:00,2022-10-08 21:00:00,,1/2/3/4/5/6/7,HK,"Shop 8, G/F, Fullview Garden, No 18 Siu Sai Wan Road, Siu Sai Wan",小西灣小西灣道18號富景花園地下8號舖,True,False,True,False
77,JAR,North Point - Java Road Shop,2022-06-27T00:00:00+08:00,2022-10-08 12:00:00,2022-10-08 21:00:00,,1/2/3/4/5/6/7,HK,"Shop E, G/F, Prosperity Building, 23-27 Java Road, North Point, Hong Kong",北角渣華道23-27 號金豐大廈地下E號舖,True,False,True,False
78,WCR,Wan Chai - Emperor Group Centre Shop,2019-07-25T00:00:00+08:00,2022-10-08 12:00:00,2022-10-08 21:00:00,,1/2/3/4/5/6/7,HK,"Shop G15, G/F, Emperor Group Centre, 288 Hennessy Road, Hong Kong (pick-up)",灣仔軒尼詩道288號英皇集團中心地下G15號舖 (自取),True,False,True,False
79,DAW,Fanling - Dawning Views Shop,2021-07-31T00:00:00+08:00,2022-10-08 12:00:00,2022-10-08 21:00:00,,1/2/3/4/5/6/7,NT,"Shop G12B, G/F, Dawning Views, No. 23 Yat Ming Road, Fanling.","粉嶺一鳴路23號牽晴間購物廣場G/F, G12B舖",True,False,True,False
80,KTS,Kai Tak MTR Station shop (No alcohol and oil products allowed),2020-02-14T00:00:00+08:00,2022-10-08 12:00:00,2022-10-08 21:00:00,,1/2/3/4/5/6/7,KLN,"KAT 4 , Kai Tak MTR Station, Kai Tak",九龍港鐵啟德站KAT 4號,True,False,True,False
81,HHS,Hang Hau MTR Station shop (No alcohol and oil products allowed),,2022-10-08 12:00:00,2022-10-08 21:00:00,,1/2/3/4/5/6/7,KLN,"HAH7, Hang Hau MTR Station, Tsang Kwan O (pick-up)",港鐵坑口站HAH7號舖 (自取),True,False,True,False
82,MET,Tai Kok Tsui - Metro Harbor Plaza Shop,2020-12-25T00:00:00+08:00,2022-10-08 12:00:00,2022-10-08 21:00:00,,1/2/3/4/5/6/7,KLN,"Shop G42-44 on Ground Floor, 8 Fuk Lee Street, Metro Harbour Plaza, Tai Kok Tsui, KLN",九龍 大角咀福利街8號港灣豪庭廣場G42-44號舖,True,False,True,False
83,FHS,Fortress Hill MTR Station shop (No alcohol and oil products allowed),2020-05-13T00:00:00+08:00,2022-10-08 12:00:00,2022-10-08 21:00:00,,1/2/3/4/5/6/7,HK,"FOH 13, Fortress Hill MTR Station, Hong Kong",港鐵炮台山站店FOH13號舖,True,False,True,False
84,WPA,Whampoa MTR Station shop (No alcohol and oil products allowed),2019-11-21T00:00:00+08:00,2022-10-08 12:00:00,2022-10-08 21:00:00,,1/2/3/4/5/6/7,KLN,MTR Station Concession No. WHA W1 at Whampoa Station (pick-up),港鐵黃埔站WHA W1號舖 (自取),True,False,True,False
85,YMS,Kwun Tong - Yue Man Square Shop,2021-07-05T00:00:00+08:00,2022-10-08 12:00:00,2022-10-08 21:00:00,,1/2/3/4/5/6/7,KLN,"Shop 1A21, Floor 01, Yue Man Square of Grand Central, 33 Hip Wo Street, Kwun Tong, Kowloon",九龍觀塘協和街33號裕民坊商場 一樓1A21號舖,True,False,True,False
86,ERE,To Kwa Wan - eResidence Shop,2021-07-20T00:00:00+08:00,2022-10-08 12:00:00,2022-10-08 21:00:00,,1/2/3/4/5/6/7,KLN,"Shop G05, eResidence, 8 Hok Yuen Street, To Kwa Wan, Kowloon",九龍土瓜灣鶴園街8號煥然懿居G05舖,True,False,True,False
87,SHA,Shatin - Shatin Centre Shop,2020-12-24T00:00:00+08:00,2022-10-08 12:00:00,2022-10-08 21:00:00,,1/2/3/4/5/6/7,NT,"Shop No.22F, Level 3, Shatin Centre, Shatin, New Territories",新界 沙田橫壆街2-16號沙田中心322號舖,True,False,True,False
88,FSS,Sai Wan - Sai Ying Pun First Street Shop,,2022-10-08 12:00:00,2022-10-08 21:00:00,,1/2/3/4/5/6/7,HK,"Shop B, No. 79 First Street, Sai Ying Pun, Sai Wan, Hong Kong (pick-up)",First Street Shop	香港 西環西營盤第一街79號地下B號舖 (自取),True,False,True,False
89,HIN,Hin Keng MTR Station shop (No alcohol and oil products allowed),2020-02-14T00:00:00+08:00,2022-10-08 12:00:00,2022-10-08 21:00:00,,1/2/3/4/5/6/7,NT,"HIK 5, Hin Keng MTR Station, Tai Wai",新界港鐵顯徑站HIK 5號舖,True,False,True,False
90,DIA,Diamond Hill MTR Station shop (No alcohol and oil products allowed),2020-02-14T00:00:00+08:00,2022-10-08 12:00:00,2022-10-08 21:00:00,,1/2/3/4/5/6/7,KLN,"DIH 109, Diamond Hill MTR station, Diamond Hill",九龍港鐵鑽石山站DIH 109號舖,True,False,True,False
